texts,true_labels,predicted_labels
"This movie is speedy enough with plot twists, but hard to understand the connection between plots.",0,0
"Seriously, this is the best movie I've ever watched! Everything was flawless!",1,1
"The storyline was okay, but the acting was just not up to the mark.",0,1
A complete disaster of a movie. Don't waste your time.,0,0
I can't believe how amazing this was. Totally worth it!,1,1
"The movie had its moments, but overall, it felt like something was missing.",0,1
"I absolutely loved the cinematography, but the acting was subpar.",0,1
The film is an excellent example of how not to make a movie.,0,1
It's hard to imagine how anyone could dislike this masterpiece!,1,1
The trailer was better than the actual movie. Felt cheated.,0,1
A rollercoaster of emotions! Highly recommend watching this.,1,1
An average movie with nothing new to offer.,0,0
"The pacing was terrible, and the climax was predictable.",0,0
"Wow, just wow. This is how a movie should be made!",1,1
"A decent watch for a lazy weekend. Not groundbreaking, but enjoyable.",1,1
The director has outdone themselves; what a phenomenal movie!,1,1
More hype than substance. A complete letdown.,0,1
"Good visuals, decent music, but lacked a solid script.",0,1
A masterpiece in every sense. This will stay with me forever.,1,1
Mediocre at best. Not worth the ticket price.,0,1
A fresh take on a tired genre. Highly recommend it!,1,1
Overrated and boring. Nothing special about it.,0,0
This is one of those movies you'll regret missing. A must-watch!,1,1
"Predictable plot, but the performances were top-notch.",1,0
It's a bad movie if you're looking for entertainment.,0,0
Can't believe I sat through the entire thing. A waste of time.,0,0
"Finally, a movie that gets it right. Loved every minute of it!",1,1
A forgettable movie with no real impact.,0,0
An extraordinary journey that left me speechless. Bravo!,1,1
"The humor was forced, and the dialogue was cringeworthy.",0,1
A solid movie with a gripping narrative. Well done!,1,1
"The music was fantastic, but the rest of the movie was average.",1,1
Ironic how they managed to make something so beautiful look so bland.,0,1
An epic conclusion to a fantastic series. Couldn’t have been better!,1,1
The movie tries too hard to be funny and fails miserably.,0,0
A fresh and engaging story with relatable characters.,1,1
"All style, no substance. Disappointing.",0,0
A breath of fresh air! One of the best movies this year.,1,1
"The plot was all over the place, but it was fun to watch.",1,1
Couldn't make it through the first half. Painful to sit through.,0,0
An unexpectedly beautiful film that touched my heart.,1,1
Trying to understand why this movie exists is more entertaining than the movie itself.,0,1
Every second of this movie was a blessing. Pure cinematic joy.,1,1
The lead actor was the only saving grace in an otherwise dull film.,0,0
A pretentious attempt at storytelling that falls flat.,0,0
"I didn’t expect much, but this movie surprised me in the best way.",1,1
A series of poorly executed clichés masquerading as a story.,0,0
This is not just a movie; it’s an experience. Brilliant!,1,1
A slog of a movie with a laughably bad ending.,0,0
